ID,Name,country,city,web,trade union,development organisation,academia,human rights organisation,private sector,Other (please specify),"Is your organisation a migrant/diaspora organisation or led by a migrant or diaspora member? (For this survey, 'diaspora' means either you or at least one of your parents or grandparents are or were migrants)?",What is your organisation's main level of intervention? ,lon,lat
131.117.202.89,Forum des Organisations de Solidarité Internationale issue des Migrations,France,Paris,www.forim.net,,development organisation,,,,,Yes,International,48.856614,2.352222
83.114.61.152,Forum des Organisations de Solidarité Internationale issues des Migrations (FORIM),France,Paris,www.forim.net,,development organisation,,,,"Représentation, structuration et renforcement des capacités des organisations de solidarité internationale issues de l'immigration",Yes,International,48.856614,2.352222
195.6.215.9,France Libertes,France,paris,www.france-libertes.fr,,,,human rights organisation,,,No,International,48.856614,2.352222
41.189.52.127,FRATERNITE SOLIDARITE JEUNESSE COTE D'IVOIRE,COTE D'IVOIRE,abidjan,www.fsjci.org,,development organisation,,human rights organisation,,,Yes,Regional,5.316667,-4.033333
41.66.37.3,FRATERNITE SOLIDARITE JEUNESSE COTE D'IVOIRE,COTE D'IVOIRE,ABIDJAN,www.fsjci.org,,development organisation,,human rights organisation,,,No,Regional,5.316667,-4.033333
41.189.38.93,FRATERNITE SOLIDARITE JEUNESSE COTE D'IVOIRE,IVORY COAST,ABIDJAN,www.fsjci.org,,development organisation,,human rights organisation,,,No,Regional,5.316667,-4.033333
148.244.42.174,Fundacion BBVA Bancomer,Mex,mex,www.fundacionbbbvabancomer.org,,,,,private sector,,No,International,19.496873,-99.723267
79.144.88.92,Fundacion CEPAIM,Spain,National,www.cepaim.org,,development organisation,,,,,Yes,Local/National,40.423505,-3.689432
190122121126,FUNDACION ETNICA INTEGRAL,República Dominicana,Santo Domingo,wwwfundacionetnicaintegral.com,,development organisation,,human rights organisation,,Trabajo con Inmigrantes Haitianos y Apatridia en Republica Dominicana,Yes,Local/National,18.466667,-69.95
190.20.243.69,Fundacion Scalabrini and SIMN,CHILE,SANTIAGO,www.fundacionscalabrini.cl,,development organisation,,human rights organisation,,,No,Regional,-33.46912,-70.641997
82.168.152.34,Georgian Diaspora Foundation,Netherlands,Utrecht,www.geo-diaspora.nl,,development organisation,,,,,Yes,International,52.090737,5.12142
68.62.17.88,Gray Panthers,USA,"Washington, D.C.",www.graypanthers.org,,,,,,social justice activist organization,No,Local/National,38.907192,-77.036871
62.45.168.72,Habagat Foundation,The Netherlands,Utrecht,,,development organisation,,human rights organisation,,,Yes,International,52.090737,5.12142
41.218.252.21,"Health Services Woers' Union of TUC, Ghana",Ghana,Accra,,trade union,,,,,,No,Local/National,5.55,-0.2
95.97.142.170,Healthnet TPO,Netherlands,Amsterdam,http://www.healthnettpo.org/en/871/news.html,,development organisation,,,,Non-profit organisation with a focus on Health,No,Local/National,52.370216,4.895168
178.59.109.236,HELLENIC PLATFORM DEVELOPMENT,GREECE,ATHENS,www.hellenic-platform-dev.gr,,development organisation,,,,,No,International,37.983917,23.72936
212.103.78.118,HELVETAS Swiss Intercooperation,Switzerland,Bern/Zürich,http://helvetas.org/,,development organisation,,,,,No,International,47.381705,8.395708
195.169.146.27,HIRDA,The Netherland,Amsterdam,www.hirda.org,,development organisation,,,,,Yes,Regional,52.368997,4.901083
80.42.142.106,Hope Medical Enterprises,UK,London,www.hmeaid.com,,,,human rights organisation,,,Yes,International,51.507351,-0.127758
84198162236,ICMC,Geneva,Geneva,www.icmc.net,,,,human rights organisation,,,No,International,46.198392,6.142296
203188249122,INAFI Asia and INAFI Bangladesh,Bangladesh,Dakar,www.inafiasia.net,,development organisation,,,,,No,Regional,14.764504,-17.366029
201103197246,INEDIM,México,México City,www.estudiosdemigración.org,,,,human rights organisation,,,Yes,International,19.432608,-99.133208
49.244.40.197,INHURED International,Nepal,Lalitpur,www.inhuredinternational.org,,,,human rights organisation,,,No,Regional,27.666667,85.316667
190.56.249.90,Instituto Centroamericano de Estudios Sociales y Desarrollo INCEDES,Guatemala,Guatemala,www.incedes.org.gt,,development organisation,academia,,private sector,,No,Regional,14.613333,-90.535278
91.137.88.190,International Catholic Migration Commission,Switzerland,Geneva,www.icmc.net,,development organisation,,human rights organisation,,humanitarian also,Yes,International,46.198392,6.142296
198.105.46.40,International Council of Psychologists,U.S,st augustine,icpweb.org,,,academia,,,,No,International,29.894722,-81.314444
49183194112,International Detention Coalition,Australia,Melbourne,Www.idcoalition.org,,,,human rights organisation,,,No,International,-37.814107,144.96328
67244127100,International Federation of B usiness and Professional Women,US,Geneva,bpw-international.org,,development organisation,,human rights organisation,,,Yes,International,46.198392,6.142296
50.191.77.243,International Forum For the Rlghts of Black People,U S A,Phildelphia,WWW>IFRBP>COM,,,,human rights organisation,,,No,International,39.952584,-75.165222
203188249122,International Network Of Alternative Financial Institutions (INAFI),Bangladesh,Dhaka,www.inafiasia.net,,development organisation,,,,,No,Regional,23.810332,90.412518
172.56.19.177,International Presentation Association of the Sisters of the Presentation of the Blessed Virgin Mary,USA,New York,www.internationalpresentationassociation.org,,development organisation,,,,NGO,No,International,40.712784,-74.005941
99.5.74.240,International Union of Anthropological and Ethnological Sciences,US,Osaka,www.iuaes.com,,development organisation,,human rights organisation,,,Yes,International,34.693738,135.502165
94.225.18.92,International Young Christian Workers,Belgium,Brussels,www.joci.org,,,,,,Workers Organisation,Yes,International,50.85034,4.35171
149.3.125.114,International Youth  Association TIP,Georgia,Tbilisi,www.tip.ge,,,,human rights organisation,,,No,International,41.716667,44.783333
74.71.51.153,Internationla Council of Women (ICW-CIF),USA,Lausanne,,,development organisation,,human rights organisation,,,Yes,International,46.519962,6.633597
187.53.47.147,Irmãs Dominicanas de Monteils,Brasil,São Paulo,,,,,,,Congregação Religiosa,Yes,International,-23.55052,-46.633309
46.14.11.163,Istituto Internazionale Maria Ausiliatrice - IIMA,SWITZERLAND,ROME,CGFMANET.ORG - English blog: http://iimahumanrights.blogspot.com/,,,,human rights organisation,,,No,International,41.872389,12.48018
46.14.101.62,ISTITUTO INTERNAZIONALE MARIA AUSILIATRICE - IIMA,SWITZERLAND,GENEVA,http://iimahumanrights.blogspot.com/,,,,,,ECOSOC STATUT,No,International,46.198392,6.142296
89.96.63.195,Istituto Pace Sviluppo Innovazione Acli (IPSIA),Italy,Rome,www.ipsia-acli.it,,development organisation,,,,,No,International,41.872389,12.48018
64.20.199.44,Justice Team of the Congregation of St. Joseph,United States of America,"Cleveland, OH",www.csjoseph.org,,,,,,congregation of women religious,No,Local/National,41.49932,-81.694361
46.5.106.84,Kamerun4AfrikaClub e. V.,Germany,Aalen,www.kamerun4afrikaclub.de,,development organisation,,,,,Yes,Local/National,48.836689,10.097116
180211175226,Kapo Seba Sangha KSS,Bangladesh,Rangamati,www.ksschtbd.blogspot.com,,development organisation,,,,,Yes,Local/National,22.65735,92.173271
58.97.141.69,kathak academy bangladesh(KAB)UNCSOs,bangladesh,dhaka,www.kabbd.org(under constraction ),,,,,,social service,No,Local/National,23.810332,90.412518
58.97.142.77,kathak academy bangladesh(KAB)United nations Civil Society(Database),bangladesh,dhaka,www.kabbd.org,,development organisation,,,,,No,Local/National,23.810332,90.412518
41.215.158.66,KEJIBAUS,SWAZILAND,AKURE,,,,,,,NGO/CSO,Yes,Regional,7.25,5195
62.56.218.194,Kenya Diaspora Alliance (KDA),South Sudan,"Washington, DC",www.kenyadiasporaalliance.org,,,,,,Federation of Diaspora organizations,Yes,International,38.907192,-77.036871
78.99.158.104,Kongregacia sestier dominikanok bl. Imeldy,Slovakia,Bratislava,www.dominikanky.sk,,,,,,church organization,No,Regional,48.145892,17.107137
90.3.80.111,Krokula,France,Vincennes,www.krokula.fr,,development organisation,,,,,No,International,48.847759,2.439497
149154228175,L.D.H.  C HARLROI,142  RUE  C.DEBRYN  6042   LODELINSART,hainaut,,,,,human rights organisation,,,No,Local/National,50.525708,4.062102
196.200.87.4,la federation des associations de migrants(FAM),MALI,BAMAKO,,,development organisation,,human rights organisation,,,Yes,Local/National,12.65,-8
112.135.0.0,Lanka Migrant Rights & Development Syndicate,Sri Lanka,Ratnapura,,trade union,development organisation,,human rights organisation,,,,Regional,6.708103,80377
91178180151,Le Collectif des Femmes Africaines du Hainaut,Belgique,Charleroi,www.cfah.be,trade union,development organisation,,,,,Yes,International,50.41081,4.444643
91.177.179.10,Le Collectif des Femmes Africaines du Hainaut,Belgique,Charleroi,www.cfah.be,,development organisation,,,,,,Regional,50.41081,4.444643
50.76.1.81,Leadership Conference of Women Religious,USA,"Silver Spring, Maryland",www.lcwr.org,,,,,,Faith-based,No,Local/National,38.990666,-77.026088
197.231.155.25,Liberians United to Expose Hidden Wespind,Liberia,Monrovia,,,development organisation,,human rights organisation,,,No,Local/National,6.313333,-10.801389
79.136.121.93,LO-TCO Secretariat of Trade Union Development Cooperation,Sweden,Stockholm,www.lotcobistand.org,trade union,development organisation,,human rights organisation,,,No,International,59.329323,18.068581
108.27.199.134,Loretto Community,United States of America,"Littleton, Colorado",www.lorettocommunity.org,,,,human rights organisation,,Faith-based NGO,No,Local/National,39.613321,-105.01665
85.76.114.251,Maailmankauppayhdistys Sikitiko ry,Lappeenranta,,,,development organisation,,,,,,Local/National,61.05494119999999,28.18962590000001
90.197.55.220,Markets4Development Ltd,United Kingdom,London,www.markets4development.co.uk,,,,,private sector,Social Enterprise,Yes,International,51.507351,-0.127758
151.200.239.74,Maryknoll Office for Global Concerns,United States,"Washington, DC",https://www.maryknollogc.org,,,,,,religious NGO,No,International,38.907192,-77.036871
